Wavenumber,Intensity
190.662,11.496246953761784
191.435,7.488728364402732
192.207,13.682843151681027
192.98,0.9455272335271729
193.753,10.79895733191097
194.525,0.4626049690482432
195.297,-0.8133204443381601
196.069,1.2498092192652166
196.841,4.444027456836693
197.613,-1.2927512881615257
198.385,0.8309141539280063
199.157,1.8244858412826943
199.928,2.088272743784046
200.7,-2.7188255826015393
201.471,-0.5958721426711691
202.243,3.2666037128024072
203.014,1.7184062438634555
203.785,2.709258935060234
204.556,5.2989549256708415
205.327,-4.312839289765861
206.097,1.813544147815037
206.868,-2.6722170981217914
207.639,-2.42039775898229
208.409,6.95878201213236
209.179,-6.064824147908894
209.95,-7.2912715333902725
210.72,-5.8605261598615925
211.49,-6.092459303974692
212.26,-0.7268699889809795
213.029,-6.76347328386646
213.799,1.7980137853098768
214.569,2.897949039412424
215.338,-3.683385000505268
216.108,0.6143231425767226
216.877,-4.428702892434103
217.646,-10.812125249868359
218.415,-1.3155844068139686
219.184,-2.629667409608601
219.953,2.457081759687526
220.722,8.212110334620093
221.49,0.30928977829239557
222.259,8.264313636862425
223.027,9.95090777840619
223.796,15.10733024115666
224.564,4.266445020648462
225.332,21.151150407181376
226.1,26.650903985088007
226.868,26.06664922518621
227.636,39.566703410796435
228.403,43.782647503254566
229.171,43.14584428009721
229.938,47.300452926649314
230.706,48.00402552145988
231.473,44.61891758906518
232.24,49.65356076447392
233.007,50.27883314453538
233.774,39.974679585374815
234.541,41.060314648178746
235.308,41.29737410505072
236.074,31.85348279133973
236.841,35.221815772596756
237.607,27.10842679054508
238.373,23.148137600923064
239.14,19.775264172948255
239.906,10.606307274780875
240.672,30.364087721279247
241.438,19.676525098136608
242.203,21.56501162481186
242.969,15.408940660212693
243.735,25.028155245739754
244.5,17.34360683936893
245.265,12.903607068095198
246.031,18.540627653581623
246.796,8.10145764918093
247.561,15.220056492664753
248.326,20.71179295804609
249.091,20.891978779921374
249.855,18.25471454770559
250.62,14.766580671519023
251.385,11.1303002972586
252.149,17.71388800017985
252.913,20.078654466751686
253.677,19.20395365458353
254.442,22.899853071712187
255.206,14.556932782345484
255.969,20.783990020702504
256.733,21.11284833016657
257.497,26.68114051998282
258.26,31.471815070584853
259.024,40.1013640111089
259.787,27.493918304372983
260.551,34.40474247839302
261.314,27.129181432839232
262.077,34.971342112421326
262.84,32.82769895166257
263.603,29.541249016343045
264.365,23.46954945404559
265.128,33.91453688866295
265.89,34.51480490364679
266.653,25.15126604579109
267.415,34.42352976385109
268.177,26.471495464746567
268.94,25.005785850552684
269.702,24.655272756151362
270.463,26.661602610437285
271.225,22.242665214501358
271.987,18.31105098585863
272.749,18.43372703175828
273.51,29.574200093988566
274.271,15.6885251805179
275.033,14.7010886256694
275.794,20.42710155796067
276.555,16.571779340286184
277.316,18.289505571133986
278.077,23.90631038421816
278.838,22.665775730503583
279.598,20.284719409563195
280.359,25.10595383218856
281.119,21.727043054114574
281.88,21.190086087309055
282.64,29.24333139187752
283.4,29.07821318371157
284.16,18.963621008569135
284.92,31.900373770015904
285.68,27.987941752643337
