Angle,Intensity
7.452797718,0.05852751740661456
7.465928001,0.06907798425433262
7.479058283,0.07911460596817994
7.492188566,0.09256659755196137
7.505318849,0.10983744677696125
7.518449131,0.1277120269276764
7.531579414,0.1427743627667716
7.544709697,0.18366766942143228
7.557839979,0.2320505473074576
7.570970262,0.3037975218774619
7.584100545,0.34953938294620557
7.597230827,0.3112961974080416
7.61036111,0.2253123284827887
7.623491393,0.15043713186288007
7.636621675,0.10811370174548413
7.649751958,0.08518143194793973
7.662882241,0.06858098981442223
7.676012523,0.04891853657901802
7.689142806,0.056479647761073254
7.702273089,0.04897592039492571
7.715403371,0.03761128340182766
7.728533654,0.03891896555057046
7.741663937,0.03637070170357127
7.754794219,0.033053926270528715
7.767924502,0.030287663313987044
7.781054785,0.03311223530402135
